r_fighter,b_fighter,r_win,b_win,wei_class,method,round,time,t_format,ref,details,r_kd,b_kd,r_sigstr,b_sigstr,r_totstr,b_totstr,r_td,b_td,r_sub,b_sub,r_rev,b_rev,r_ctrl,b_ctrl,r_hstr,b_hstr,r_bstr,b_bstr,r_lstr,b_lstr,r_dis,b_dis,r_cli,b_cli,r_gro,b_gro
Macy Chiasson,Shanna Young,1,0,Women's Bantamweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Herb Dean,,0,0,0.52,0.56,0.61,0.6,0.37,0.0,0,0,0,0,513,22,0.4,0.56,0.83,0.58,0,0.5,0.33,0.44,0.74,0.94,0.45,0
Eryk Anders,Krzysztof Jotko,0,1,Middleweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Herb Dean,,0,0,0.42,0.57,0.55,0.66,0.0,0.0,0,0,0,0,351,46,0.28,0.51,0.81,0.76,0.0,0.86,0.35,0.54,0.58,0.76,0,0
Alistair Overeem,Walt Harris,1,0,Heavyweight Bout,KO/TKO,2,3:00,5 Rnd (5-5-5-5-5),Dan Miragliotta,Punches to Head From Back Control,1,1,0.8,0.52,0.84,0.52,1.0,0.0,0,0,0,0,262,47,0.77,0.46,1.0,0.86,1.0,0,0.7,0.32,1.0,0.33,0.81,0.69
John Dodson,Nathaniel Wood,1,0,Bantamweight Bout,KO/TKO,3,0:16,3 Rnd (5-5-5),Joe Coca,Punch to Head At Distance,1,0,0.54,0.46,0.63,0.55,0.0,1.0,0,0,0,0,119,48,0.48,0.38,1.0,0.4,1.0,0.76,0.5,0.43,0.8,0.83,0.8,1.0
Tim Means,Daniel Rodriguez,0,1,Welterweight Bout,Submission,2,3:37,3 Rnd (5-5-5),Herb Dean,Guillotine Choke In Clinch,0,1,0.43,0.4,0.43,0.4,0.33,0.0,0,1,0,0,11,4,0.31,0.35,0.5,0.71,1.0,1.0,0.45,0.41,0.0,0.0,0,0
Lando Vannata,Yancy Medeiros,1,0,Lightweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Details:,,0,0,0.53,0.35,0.53,0.35,0.0,0.0,0,0,0,0,4,0,0.34,0.26,0.76,0.82,0.79,0.92,0.53,0.35,0.33,1.0,0,0
Brok Weaver,Kazula Vargas,1,0,Lightweight Bout,DQ,1,4:02,3 Rnd (5-5-5),Robert Romero,Illegal Knee on Ground,0,0,0.56,0.52,0.6,0.78,0.0,0.5,1,0,0,0,0,188,0.5,0.43,0,0.5,0.67,0.8,0.57,0.43,0.0,0.6,1.0,1.0
Montana De La Rosa,Mara Romero Borella,1,0,Women's Flyweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Joe Coca,,1,0,0.4,0.43,0.58,0.65,0.33,0.5,1,0,0,0,510,108,0.29,0.34,0.8,0.75,0.67,1.0,0.27,0.34,0.67,0.83,0.9,1.0
Lina Lansberg,Pannie Kianzad,0,1,Women's Bantamweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Chris Tognoni,,1,0,0.44,0.49,0.57,0.52,0.0,1.0,0,0,0,0,143,271,0.4,0.42,0.73,0.94,0.5,1.0,0.4,0.43,0.8,0.83,0,0
Devin Clark,William Knight,1,0,Heavyweight Bout,KO/TKO,3,3:21,3 Rnd (5-5-5),Dan Miragliotta,Punches to Head In Clinch,1,0,0.72,0.51,0.89,0.66,0.4,1.0,0,2,0,0,346,129,0.63,0.38,0.83,1.0,0.91,0.78,0.68,0.46,0.8,0.83,1.0,0
